OTU,log2FoldChange,pval,Sample,Phylum,Class,Order,Family,Genus,,,,,,OTU,
448,3.699251709,0.489219113,11/15/16 Manure Line,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,,,,,,Otu,448
457,6.937561833,4.36E-09,11/15/16 Manure Line,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Atopostipes,,,,,,Otu,457
461,6.173636407,1.65E-09,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Sporanaerobacter,,,,,,Otu,461
475,4.216001083,0.008877762,11/15/16 Manure Line,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,,,,,,Otu,475
498,-1.131045651,0.937253196,11/15/16 Manure Line,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,,,,,,Otu,498
503,6.028159788,6.85E-06,11/15/16 Manure Line,Synergistetes,Synergistia,Synergistales,Synergistaceae,Aminobacterium,,,,,,Otu,503
542,4.508370963,6.16E-05,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,,,,,,Otu,542
547,5.692109296,8.98E-08,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified,,,,,,Otu,547
556,0.5327671,0.635679642,11/15/16 Manure Line,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,,,,,Otu,556
591,3.433907601,0.356247639,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Anaerococcus,,,,,,Otu,591
592,4.61072141,0.000577131,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,,,,,,Otu,592
593,2.918534838,0.635679642,11/15/16 Manure Line,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Sphaerochaeta,,,,,,Otu,593
596,2.585813119,0.428853092,11/15/16 Manure Line,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Selenomonas,,,,,,Otu,596
612,3.272895627,0.368472453,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Clostridiales_Incertae_Sedis_XI_unclassified,,,,,,Otu,612
673,3.829881232,0.024296241,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,,,,,,Otu,673
707,6.28737153,1.13E-07,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,,,,,,Otu,707
710,4.396079936,0.003310376,11/15/16 Manure Line,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,,,Otu,710
748,6.382947427,1.20E-05,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Clostridiales_Incertae_Sedis_XI_unclassified,,,,,,Otu,748
768,4.964747413,0.000220003,11/15/16 Manure Line,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Ignatzschineria,,,,,,Otu,768
776,3.354089226,0.635679642,11/15/16 Manure Line,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,,,,,,Otu,776
800,2.926898011,0.150362467,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,,,,,,Otu,800
805,4.002654942,0.001431296,11/15/16 Manure Line,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,,,,Otu,805
826,3.90687007,0.224137032,11/15/16 Manure Line,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,,,Otu,826
842,3.352504439,0.494754532,11/15/16 Manure Line,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,,,,,,Otu,842
868,3.48062868,0.635679642,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,,,,,,Otu,868
878,3.359973285,0.380692708,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,,,,,,Otu,878
883,3.965694216,0.024196531,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,,,,,,Otu,883
918,2.032611824,0.635679642,11/15/16 Manure Line,Bacteroidetes,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,,,,,,Otu,918
956,5.280657579,1.74E-05,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,,,,,,Otu,956
958,1.795082277,0.635679642,11/15/16 Manure Line,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonellaceae_unclassified,,,,,,Otu,958
973,5.029343687,0.002120431,11/15/16 Manure Line,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,,,,,,Otu,973
1028,3.342207014,0.494754532,11/15/16 Manure Line,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae_unclassified,,,,,,Otu,1028
1030,4.507566287,0.001431296,11/15/16 Manure Line,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,,,,,,Otu,1030
1086,3.396675749,0.635679642,11/15/16 Manure Line,Firmicutes,Bacilli,Bacillales,Bacillales_unclassified,Bacillales_unclassified,,,,,,Otu,1086
1144,2.269923176,0.635679642,11/15/16 Manure Line,Bacteroidetes,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,,,,,,Otu,1144
1148,4.938413991,0.004134944,11/15/16 Manure Line,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,,,,,,Otu,1148
1149,4.352708169,0.072113542,11/15/16 Manure Line,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,,,,,,Otu,1149
1178,3.262761649,0.635679642,11/15/16 Manure Line,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,,,,,,Otu,1178
1192,5.599101779,4.75E-05,11/15/16 Manure Line,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Oligella,,,,,,Otu,1192
1200,3.241582948,0.635679642,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,,,,,,Otu,1200
1202,4.481890255,0.015364725,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,,,,,,Otu,1202
1230,3.916614679,0.15439954,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,,,,,,Otu,1230
